iter	Passed	Remaining
0	369	369184
1	536	267655
2	709	235942
3	904	225104
4	1053	209674
5	1240	205502
6	1412	200443
7	1590	197247
8	1771	195099
9	2006	198641
10	2182	196240
11	2332	192015
12	2473	187779
13	2637	185768
14	2806	184283
15	2956	181853
16	3146	181959
17	3294	179760
18	3438	177545
19	3560	174484
20	3722	173557
21	3853	171297222	4035	171429
23	4186	170247
24	4330	168894225	4477	167732
26	4615	166341
27	4748	164851
28	4909	164370
29	5080	164256
30	5226	163376
31	5379	162741
32	5522	161831
33	5700	161964
34	5902	162753
35	6077	162753
36	6236	162309
37	6372	161322
38	6538	161110
39	6671	160113
40	6864	160566
41	7020	160123
42	7164	159456
43	7296	158542
44	7451	158130
45	7591	157442
46	7740	156960
47	7872	156145
48	8050	156247
49	8201	155829
50	8342	155234
51	8482	154638
52	8646	154498
53	8799	154150
54	8976	154227
55	9106	153508
56	9296	153797
57	9426	153098
58	9577	152752
59	9751	152765
60	9920	152717
61	10085	152579
62	10225	152090
63	10363	151568
64	10522	151357
65	10662	150896
66	10818	150649
67	11002	150799
68	11165	150656
69	11297	150094
70	11443	149728
71	11685	150617
72	11878	150836
73	12033	150577
74	12199	150464
75	12358	150256
76	12486	149679
77	12653	149565
78	12809	149330
79	12947	148898
80	13074	148341
81	13263	148490
82	13413	148196
83	13565	147924
84	13676	147223
85	13788	146538
86	13933	146217
87	14073	145848
88	14206	145417
89	14351	145111
90	14494	144784
91	14640	144495
92	14826	144602
93	14916	143771
94	15083	143689
95	15213	143258
96	15374	143127
97	15509	142750
98	15609	142061
99	15749	141744
100	15896	141493
101	16010	140954
102	16139	140555
103	16271	140188
104	16419	139953
105	16547	139560
106	16684	139249
107	16805	138803
108	16939	138464
109	17114	138473
110	17282	138418
111	17457	138414
112	17587	138052
113	17767	138084
114	17912	137846
115	18092	137873
116	18234	137617
117	18379	137379
118	18512	137053
119	18661	136854
120	18830	136792
121	18947	136358
122	19075	136007
123	19239	135919
124	19392	135745
125	19528	135458
126	19690	135349
127	19816	135000
128	19963	134789
129	20163	134939
130	20462	135737
131	20623	135616
132	20809	135651
133	20944	135357
134	21089	135131
135	21231	134881
136	21377	134660
137	21524	134448
138	21675	134262
139	21790	133858
140	21920	133546
141	22067	133339
142	22217	133150
143	22343	132820
144	22501	132681
145	22662	132559
146	22787	132227
147	22915	131921
148	23078	131813
149	23206	131501
150	23344	131253
151	23494	131072
152	23612	130717
153	23760	130528
154	23891	130246
155	24056	130150
156	24230	130105
157	24357	129804
158	24494	129558
159	24589	129093
